4 250.0 250.0
378 200 0 600
378 200 378 600
378 200 756 600
378 200 1134 600
378 200 1512 600
378 200 0 800
378 200 378 800
378 200 756 800
378 200 1134 800
378 200 1512 800
378 200 0 1000
378 200 378 1000
378 200 756 1000
378 200 1134 1000
378 200 1512 1000
378 200 0 1200
378 200 378 1200
378 200 756 1200
378 200 1134 1200
378 200 1512 1200
378 200 0 1400
378 200 378 1400
378 200 756 1400
378 200 1134 1400
378 200 1512 1400
378 200 0 1600
378 200 378 1600
378 200 756 1600
378 200 1134 1600
378 200 1512 1600
378 200 0 1800
378 200 378 1800
378 200 756 1800
378 200 1134 1800
378 200 1512 1800
378 200 0 2000
378 200 378 2000
378 200 756 2000
378 200 1134 2000
378 200 1512 2000
378 200 0 2200
378 200 378 2200
378 200 756 2200
378 200 1134 2200
378 200 1512 2200
378 200 0 2400
378 200 378 2400
378 200 756 2400
378 200 1134 2400
378 200 1512 2400
378 200 0 2600
378 200 378 2600
378 200 756 2600
378 200 1134 2600
378 200 1512 2600
378 200 0 2800
378 200 378 2800
378 200 756 2800
378 200 1134 2800
378 200 1512 2800
555 496 1890 0
555 496 2445 0
555 496 1890 496
555 496 2445 496
555 496 1890 992
555 496 2445 992
555 496 1890 1488
555 496 2445 1488
555 496 1890 1984
555 496 2445 1984
205 520 1890 2480
350 520 2095 2480
205 520 2445 2480
350 520 2650 2480
